time,x,y,z,vx,vy,vz,speed,omega_z,air_density,reynolds,cd,mach,Speed,Z_bottom,Clearance,AirDensity,Mu,SpeedOfSound,Re,Cd,Mach,KineticEnergy,PotentialEnergy,TotalEnergy
0.0,0.0,-0.00024525,100.0,0.0,-0.04905,0.0,0.0,50.24035599834621,1.220305976231597,0.0,0.47,0.0,0.04905,99.8,99.8,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,1351.5693959637097,0.39476472814705277,0.00014413878422430822,0.012029512500000002,9810.0,9810.0120295125
0.005,-3.007187157300098e-08,-0.0004904997276683207,99.99975475,-6.014374314600196e-06,-0.049049945533664145,-0.04905,0.04905,50.215242099345,1.220305976231597,669.0447387089594,0.5905158044228676,0.00014413878422430822,0.06936713698162926,99.79975474999999,99.79975474999999,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,1911.4067162077997,0.35080711081028415,0.00020384291110403855,0.02405899846514059,9809.975940975,9809.999999973466
0.01,-9.02005047494053e-08,-0.0007357490894160449,99.99926425036223,-1.2025726635280863e-05,-0.049049872349544846,-0.09809992755289744,0.06936713698162926,50.19014075415457,1.220305976231597,946.1716215466411,0.555404799652464,0.00020384291110403855,0.10967901306999654,99.79926425036223,99.79926425036223,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,3022.1977052989,0.3010045451940087,0.00032230376348279946,0.06014742954004236,9809.927822960535,9809.987970390075
0.015,-1.8037075564697195e-07,-0.00098099795912638,99.99852850169381,-1.803405017951333e-05,-0.04904977394206703,-0.14714973368375497,0.10967901306999654,50.16505195649959,1.220305976231597,1496.027862207388,0.47,0.00032230376348279946,0.15510939614412422,99.79852850169381,99.79852850169381,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,4274.0288043794035,0.2685515098230578,0.0004558059078895141,0.1202946238609743,9809.855646016164,9809.975940640024
0.02,-3.0056741372884494e-07,-0.001226246132369259,99.99754750508168,-2.4039331616374597e-05,-0.04904963464857578,-0.19619932242604177,0.15510939614412422,50.13997570010786,1.220305976231597,2115.7008239459747,0.47,0.0004558059078895141,0.2022375864113447,99.79754750508168,99.79754750508168,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,5572.642864569618,0.24629002390945054,0.0005942972442362835,0.20450020678743058,9809.759410248515,9809.963910455303
0.025,-4.507751982033128e-07,-0.0014714933972191156,99.9963212620443,-3.0041556894893565e-05,-0.04904945296997132,-0.24524860747575356,0.2022375864113447,50.11491197871032,1.220305976231597,2758.5319705954885,0.47,0.0005942972442362835,0.25010543618231257,99.7963212620443,99.7963212620443,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,6891.638191807713,0.2298987179925981,0.0007349621508503331,0.3127636460397242,9809.639115806547,9809.951879452587
0.030000000000000002,-6.309787570173588e-07,-0.0017167395384895287,99.994849774533,-3.604071176280918e-05,-0.0490492282540826,-0.29429750226233176,0.25010543618231257,50.08986078604103,1.220305976231597,3411.452114175038,0.47,0.0007349621508503331,0.2983569136606376,99.79484977453299,99.79484977453299,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,8221.204354289595,0.21717267262896722,0.0008767543893977819,0.4450842396455058,9809.494762881688,9809.939847121334
0.035,-8.411626664891112e-07,-0.001961984339307112,99.99313304493228,-4.203678189435048e-05,-0.04904896016351668,-0.3433459201433141,0.2983569136606376,50.0648221158372,1.220305976231597,4069.6049611028097,0.47,0.0008767543893977819,0.34683169281262677,99.79313304493228,99.79313304493228,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,9556.923579119935,0.20690281564532143,0.0010192028243113304,0.6014611156963615,9809.326351707858,9809.927812823555
0.04,-1.081311431162982e-06,-0.0022072275818205813,99.99117107606001,-4.802975293477416e-05,-0.049048648502693894,-0.39239377445253143,0.34683169281262677,50.03979596183916,1.220305976231597,4730.80365532742,0.47,0.0010192028243113304,0.39544740036558856,99.79117107606001,99.79117107606001,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,10896.526076402402,0.19837197000494547,0.0011620653927290356,0.7818932322795105,9809.133882561488,9809.915775793766
0.045,-1.3514094837616098e-06,-0.0024524690475653476,99.98896387116743,-5.401961051972554e-05,-0.04904829314895324,-0.4414409785160417,0.39544740036558856,50.01478231779037,1.220305976231597,5393.92462081004,0.47,0.0011620653927290356,0.44415748951486156,99.78896387116743,99.78896387116743,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,12238.729252117415,0.19112609486324686,0.0013052053117796752,0.9863793774607217,9808.917355761525,9809.903735138985
